1    ,BACKGROUND                    ,sa,  .,  .,None,                        ,0,0,05/25 13:31:43,            ,1    ,0    ,
2    ,BACKGROUND                    ,sa,  .,  .,None,XIO_RETRY_WORKER        ,920,0,05/25 13:31:43,            ,2    ,0    ,
3    ,BACKGROUND                    ,sa,  .,  .,None,XIO_LEASE_RENEWAL_WORKER,1130,0,05/25 13:31:43,            ,3    ,0    ,
4    ,BACKGROUND                    ,sa,  .,  .,None,RECOVERY WRITER         ,190,0,05/25 13:31:43,            ,4    ,0    ,
5    ,BACKGROUND                    ,sa,  .,  .,None,LAZY WRITER             ,4270,0,05/25 13:31:43,            ,5    ,0    ,
6    ,BACKGROUND                    ,sa,  .,  .,None,PVS_PREALLOCATOR        ,0,0,05/25 13:31:43,            ,6    ,0    ,
7    ,BACKGROUND                    ,sa,  .,  .,None,LOG WRITER              ,590,0,05/25 13:31:43,            ,7    ,0    ,
8    ,BACKGROUND                    ,sa,  .,  .,None,LOCK MONITOR            ,1100,0,05/25 13:31:43,            ,8    ,0    ,
9    ,BACKGROUND                    ,sa,  .,  .,master,SIGNAL HANDLER          ,0,0,05/25 13:31:43,            ,9    ,0    ,
10   ,sleeping                      ,sa,  .,  .,master,TASK MANAGER            ,127,0,05/25 14:40:00,            ,10   ,0    ,
11   ,BACKGROUND                    ,sa,  .,  .,master,BRKR TASK               ,0,0,05/25 13:31:44,            ,11   ,0    ,
12   ,BACKGROUND                    ,sa,  .,  .,None,XE DISPATCHER           ,60,0,05/25 13:31:43,            ,12   ,0    ,
13   ,BACKGROUND                    ,sa,  .,  .,None,RESOURCE MONITOR        ,1374,0,05/25 13:31:43,            ,13   ,0    ,
14   ,sleeping                      ,sa,  .,  .,master,TASK MANAGER            ,0,0,05/25 15:09:56,            ,14   ,0    ,
15   ,BACKGROUND                    ,sa,  .,  .,None,XE TIMER                ,320,0,05/25 13:31:43,            ,15   ,0    ,
16   ,sleeping                      ,sa,  .,  .,master,TASK MANAGER            ,0,0,05/25 14:57:36,            ,16   ,0    ,
17   ,sleeping                      ,sa,  .,  .,master,TASK MANAGER            ,0,0,05/25 13:31:43,            ,17   ,0    ,
18   ,sleeping                      ,sa,  .,  .,master,TASK MANAGER            ,17,0,05/25 15:03:06,            ,18   ,0    ,
19   ,sleeping                      ,sa,  .,  .,master,TASK MANAGER            ,0,0,05/25 15:09:56,            ,19   ,0    ,
20   ,BACKGROUND                    ,sa,  .,  .,master,TRACE QUEUE TASK        ,0,0,05/25 13:31:43,            ,20   ,0    ,
21   ,BACKGROUND                    ,sa,  .,  .,None,SYSTEM_HEALTH_MONITOR   ,59,0,05/25 13:31:43,            ,21   ,0    ,
22   ,BACKGROUND                    ,sa,  .,  .,None,RECEIVE                 ,0,1,05/25 13:31:43,            ,22   ,0    ,
23   ,BACKGROUND                    ,sa,  .,  .,master,CHECKPOINT              ,0,0,05/25 13:31:43,            ,23   ,0    ,
24   ,BACKGROUND                    ,sa,  .,  .,master,BRKR EVENT HNDLR        ,1,45,05/25 13:31:44,            ,24   ,0    ,
25   ,BACKGROUND                    ,sa,  .,  .,master,BRKR TASK               ,0,0,05/25 13:31:44,            ,25   ,0    ,
26   ,BACKGROUND                    ,sa,  .,  .,master,TASK MANAGER            ,0,0,05/25 13:31:43,            ,26   ,0    ,
27   ,BACKGROUND                    ,sa,  .,  .,master,BRKR TASK               ,1479,0,05/25 13:31:44,            ,27   ,0    ,
28   ,BACKGROUND                    ,sa,  .,  .,master,BRKR TASK               ,1749,0,05/25 13:31:44,            ,28   ,0    ,
29   ,sleeping                      ,sa,  .,  .,master,TASK MANAGER            ,27,0,05/25 15:03:06,            ,29   ,0    ,
30   ,sleeping                      ,sa,  .,  .,master,TASK MANAGER            ,21,0,05/25 15:09:56,            ,30   ,0    ,
31   ,sleeping                      ,sa,  .,  .,master,TASK MANAGER            ,0,0,05/25 15:12:26,            ,31   ,0    ,
32   ,sleeping                      ,sa,  .,  .,master,TASK MANAGER            ,0,0,05/25 15:05:06,            ,32   ,0    ,
33   ,sleeping                      ,sa,  .,  .,master,TASK MANAGER            ,0,0,05/25 15:12:26,            ,33   ,0    ,
34   ,sleeping                      ,sa,  .,  .,master,TASK MANAGER            ,0,0,05/25 15:12:26,            ,34   ,0    ,
35   ,sleeping                      ,sa,  .,  .,master,TASK MANAGER            ,52,0,05/25 14:47:20,            ,35   ,0    ,
51   ,sleeping                      ,sa,Small-Mac.local,  .,Web_Storefront,AWAITING COMMAND        ,7,0,05/25 15:18:15,MSSQL-Python,51   ,0    ,
52   ,RUNNABLE                      ,sa,Small-Mac.local,  .,Web_Storefront,SELECT INTO             ,45,0,05/25 15:18:16,MSSQL-Python,52   ,0    ,
